,G1,G2,G3
446,16,14,16
447,10,9,9
448,13,12,12
449,13,12,13
450,12,13,12
451,15,14,15
452,15,15,16
453,14,13,14
454,16,15,16
455,17,16,16
456,10,10,16
457,13,13,10
458,14,13,13
459,13,12,12
460,16,15,16
461,11,12,12
462,10,9,10
463,11,10,11
464,15,15,15
465,13,11,11
466,11,9,10
467,13,11,11
468,13,13,14
469,11,11,11
470,11,11,11
471,12,11,11
472,13,13,13
473,9,9,10
474,12,11,11
475,11,11,12
476,10,9,9
477,12,11,11
478,13,12,13
479,13,12,12
480,12,11,12
481,13,11,11
482,15,15,15
483,12,10,11
484,9,9,10
485,9,11,11
486,14,13,13
487,12,13,12
488,13,14,14
489,11,12,12
490,13,13,13
491,9,11,11
492,13,12,12
493,12,13,13
494,12,13,13
495,9,9,8
496,16,16,16
497,12,13,12
498,11,10,10
499,16,16,16
500,10,10,10
501,10,10,10
502,13,14,14
503,12,10,11
504,15,15,14
505,13,14,14
506,11,11,11
507,8,10,10
508,18,17,18
509,10,9,10
510,16,14,14
511,16,15,16
512,14,14,15
513,12,11,11
514,14,13,14
515,14,14,14
516,14,13,13
517,14,12,13
518,12,13,13
519,12,11,11
520,9,9,9
521,10,11,11
522,9,10,11
523,14,14,15
524,13,12,13
525,10,11,12
526,10,9,8
527,11,10,11
528,11,12,13
529,13,12,12
530,15,13,14
531,9,9,11
532,13,11,11
533,12,11,11
534,13,14,15
535,10,9,10
536,14,13,13
537,11,11,12
538,12,11,11
539,12,11,11
540,9,9,10
541,10,10,10
542,13,14,14
543,8,9,9
544,9,11,11
545,9,8,9
546,15,13,13
547,12,11,11
548,13,13,13
549,10,11,11
550,9,7,6
551,12,12,12
552,11,10,10
553,11,11,11
554,13,12,13
555,11,11,11
556,9,9,8
557,12,11,11
558,11,9,0
559,9,10,10
560,13,13,13
561,11,9,11
562,13,13,13
563,7,8,8
564,9,8,10
565,11,10,11
566,12,10,11
567,10,10,1
568,9,8,10
569,8,8,9
570,7,6,8
571,8,9,10
572,9,8,8
573,8,8,8
574,8,7,8
575,9,10,11
576,17,17,18
577,12,12,13
578,16,16,17
579,9,9,10
580,16,17,18
581,11,9,10
582,14,13,13
583,14,14,15
584,10,11,11
585,13,12,14
586,11,9,10
587,10,9,11
588,11,11,13
589,11,10,11
590,11,12,13
591,17,18,17
592,14,13,14
593,14,15,16
594,11,13,14
595,10,9,11
596,13,14,16
597,12,13,14
598,9,9,10
599,12,12,13
600,12,11,12
601,10,11,12
602,11,10,10
603,13,12,12
604,14,15,16
605,13,13,14
606,10,11,12
607,14,15,16
608,11,10,11
609,14,14,15
610,11,12,12
611,14,15,15
612,13,13,13
613,13,13,13
614,8,9,8
615,11,11,12
616,14,15,15
617,12,13,13
618,11,12,12
619,12,12,12
620,13,12,12
621,13,13,13
622,12,11,11
623,12,11,11
624,14,16,15
625,11,9,10
626,10,10,10
627,12,13,13
628,12,12,13
629,11,10,11
630,12,12,12
631,13,13,14
632,10,9,10
633,15,16,16
634,8,8,8
635,17,18,17
636,10,11,11
637,9,10,11
638,15,15,16
639,14,12,12
640,12,13,13
641,13,13,13
642,13,13,14
643,9,9,9
644,12,12,12
645,16,16,16
646,9,10,10
647,14,13,13
648,10,10,10
649,9,8,10
650,8,7,7
651,7,8,8
652,10,8,9
653,14,14,15
654,11,10,10
655,12,11,11
656,13,13,13
657,9,9,8
658,8,7,8
659,11,9,10
660,15,14,15
661,15,14,14
662,15,15,15
663,12,12,12
664,14,14,15
665,14,15,15
666,11,11,12
667,13,14,15
668,11,11,11
669,10,9,10
670,12,10,11
671,15,16,16
672,11,10,11
673,9,12,13
674,7,8,5
675,10,9,10
676,11,12,11
677,7,8,7
678,9,11,10
679,7,8,6
680,14,13,12
681,12,12,13
682,9,10,10
683,12,12,13
684,14,15,17
685,10,10,11
686,11,10,11
687,11,12,14
688,11,12,14
689,11,11,13
690,11,13,14
691,16,16,16
692,9,10,10
693,10,11,12
694,10,12,12
695,15,15,15
696,10,10,11
697,10,11,12
698,15,12,13
699,11,12,13
700,8,8,9
701,15,16,16
702,11,11,14
703,10,11,12
704,10,12,14
705,8,9,10
706,11,12,12
707,16,16,16
708,13,13,13
709,16,17,18
710,14,14,15
711,15,16,16
712,12,12,12
713,12,9,10
714,11,12,12
715,14,12,13
716,13,15,15
717,9,8,10
718,10,10,10
719,10,10,11
720,11,11,10
721,13,13,13
722,17,17,18
723,12,13,13
724,12,12,14
725,12,13,14
726,12,12,12
727,18,18,18
728,13,13,14
729,14,15,15
730,17,17,17
731,15,16,16
732,17,18,18
733,18,19,19
734,14,15,15
735,14,15,15
736,14,13,13
737,13,14,14
738,16,17,17
739,18,18,17
740,14,15,15
741,12,13,13
742,7,7,8
743,16,16,16
744,18,18,18
745,9,10,11
746,14,15,15
747,10,10,11
748,10,10,11
749,12,12,15
750,11,12,14
751,15,16,17
752,14,15,17
753,12,12,15
754,15,15,17
755,11,12,14
756,11,10,10
757,12,11,13
758,11,12,14
759,14,15,17
760,15,14,17
761,12,12,13
762,11,12,14
763,8,9,11
764,10,10,11
765,8,8,9
766,10,10,10
767,14,13,13
768,11,11,10
769,17,18,17
770,14,14,15
771,14,14,14
772,13,14,13
773,17,18,17
774,11,10,10
775,13,12,13
776,15,14,15
777,11,12,11
778,11,11,12
779,11,10,10
780,10,9,10
781,15,15,15
782,15,14,15
783,10,11,12
784,10,9,12
785,14,13,14
786,11,13,14
787,12,13,15
788,14,14,15
789,14,14,16
790,12,12,13
791,16,16,17
792,10,12,14
793,11,12,14
794,14,16,17
795,15,14,17
796,14,13,14
797,11,12,13
798,12,15,15
799,12,16,16
800,10,11,11
801,10,13,13
802,9,12,12
803,9,11,12
804,13,14,15
805,13,17,17
806,12,15,15
807,14,17,17
808,9,10,10
809,11,15,15
810,9,10,11
811,16,18,18
812,14,17,17
813,13,14,14
814,7,11,11
815,14,17,17
816,8,10,10
817,10,13,13
818,10,11,11
819,12,12,12
820,10,10,10
821,10,10,11
822,16,17,17
823,6,8,9
824,10,11,11
825,10,11,11
826,10,10,10
827,6,6,7
828,13,14,14
829,10,9,11
830,10,10,10
831,6,7,8
832,12,11,12
833,10,11,12
834,14,16,16
835,7,0,0
836,8,9,9
837,12,13,14
838,7,9,8
839,9,10,11
840,7,9,9
841,11,11,11
842,8,10,9
843,16,16,17
844,11,13,13
845,15,15,15
846,10,11,11
847,9,10,11
848,10,8,8
849,9,8,8
850,9,10,9
851,13,14,15
852,10,11,11
853,13,10,13
854,10,9,10
855,11,10,11
856,13,12,14
857,13,14,14
858,14,11,12
859,11,11,11
860,9,8,8
861,10,9,11
862,14,13,14
863,13,12,13
864,13,12,13
865,13,12,12
866,12,11,12
867,14,14,16
868,10,8,10
869,10,11,11
870,12,13,14
871,10,8,8
872,12,10,11
873,7,7,8
874,9,9,10
875,9,9,10
876,9,10,11
877,9,10,9
878,9,10,11
879,7,7,8
880,11,10,11
881,9,10,10
882,7,9,10
883,7,9,9
884,8,9,10
885,9,11,10
886,7,8,9
887,8,10,10
888,9,9,10
889,8,9,9
890,14,13,13
891,14,14,14
892,10,11,10
893,14,13,14
894,17,16,16
895,6,7,7
896,14,12,13
897,10,8,9
898,14,14,14
899,12,13,13
900,11,11,11
901,11,9,10
902,11,11,10
903,10,9,9
904,16,17,18
905,15,17,17
906,11,9,10
907,7,7,7
908,8,6,8
909,7,6,7
910,9,8,10
911,14,16,16
912,14,14,15
913,8,5,8
914,8,7,0
915,6,8,8
916,8,10,10
917,8,8,8
918,5,6,6
919,7,9,8
920,15,14,16
921,13,14,14
922,10,9,10
923,9,9,9
924,11,11,11
925,7,10,9
926,10,10,10
927,9,7,8
928,14,15,16
929,11,12,12
930,9,11,10
931,13,14,14
932,12,13,12
933,11,11,11
934,9,10,10
935,9,11,11
936,11,9,11
937,10,11,12
938,9,9,8
939,12,11,12
940,8,9,8
941,13,15,16
942,10,11,11
943,11,10,11
944,17,18,18
945,12,13,13
946,13,14,13
947,9,9,10
948,11,11,12
949,10,11,10
950,13,14,13
951,9,10,11
952,7,9,10
953,8,13,10
954,12,12,13
955,10,9,10
956,10,9,10
957,11,13,12
958,7,0,0
959,11,9,10
960,10,10,9
961,9,7,9
962,4,0,0
963,6,11,9
964,4,8,8
965,7,8,8
966,8,9,9
967,5,5,7
968,7,9,10
969,8,11,10
970,10,11,10
971,9,10,11
972,10,9,11
973,8,9,10
974,9,10,9
975,8,9,10
976,6,8,8
977,6,8,7
978,8,6,0
979,10,11,11
980,8,7,8
981,8,8,0
982,7,6,8
983,8,10,9
984,7,10,10
985,7,8,7
986,12,13,14
987,11,12,13
988,12,13,14
989,18,18,18
990,17,17,17
991,17,18,18
992,9,0,0
993,10,11,11
994,12,13,14
995,12,13,14
996,8,8,10
997,11,12,13
998,5,0,0
999,9,10,10
1000,5,0,0
1001,18,18,18
1002,11,11,12
1003,8,10,11
1004,11,11,12
1005,8,0,0
1006,14,14,15
1007,10,11,11
1008,10,10,10
1009,12,12,12
1010,15,14,15
1011,14,13,14
1012,19,17,18
1013,16,15,15
1014,13,12,13
1015,15,14,15
1016,13,13,13
1017,8,10,9
1018,15,16,16
1019,8,8,9
1020,10,10,10
1021,7,5,0
1022,9,10,10
1023,10,11,12
1024,7,8,9
1025,15,17,17
1026,10,11,12
1027,7,8,9
1028,13,14,14
1029,16,16,16
1030,8,9,9
1031,17,18,19
1032,7,7,0
1033,14,15,16
1034,5,8,0
1035,7,7,0
1036,14,17,15
1037,6,9,11
1038,7,9,10
1039,10,11,10
1040,15,15,16
1041,11,12,9
1042,10,10,10
1043,10,11,11
